iter	Passed	Remaining
209	3951	11101
210	3969	11081
211	3988	11061
212	4005	11039
213	4023	11018
214	4042	10998
215	4059	10976
216	4077	10954
217	4096	10935
218	4114	10914
219	4132	10894
220	4150	10875
221	4169	10856
222	4188	10837
223	4206	10815
224	4224	10795
225	4242	10774
226	4260	10755
227	4278	10734
228	4296	10712
229	4314	10691
230	4332	10672
231	4351	10653
232	4370	10636
233	4388	10615
234	4408	10599
235	4428	10583
236	4449	10569
237	4467	10548
238	4484	10527
239	4503	10507
240	4520	10484
241	4538	10465
242	4556	10444
243	4575	10425
244	4593	10405
245	4610	10383
246	4627	10360
247	4644	10338
248	4662	10316
249	4680	10297
250	4698	10277
251	4717	10258
252	4737	10243
253	4757	10227
254	4778	10212
255	4797	10195
256	4816	10175
257	4834	10155
258	4853	10137
259	4871	10118
260	4890	10099
261	4909	10081
262	4927	10061
263	4946	10041
264	4963	10021
265	4982	10001
266	5001	9983
267	5018	9962
268	5036	9941
269	5054	9921
270	5072	9901
271	5089	9880
272	5107	9860
273	5125	9838
274	5143	9819
275	5161	9799
276	5179	9779
277	5197	9758
278	5215	9739
279	5233	9719
280	5251	9698
281	5268	9677
282	5287	9659
283	5306	9641
284	5324	9621
285	5342	9602
286	5361	9583
287	5378	9562
288	5396	9541
289	5414	9522
290	5432	9501
291	5450	9483
292	5468	9463
293	5487	9444
294	5505	9424
295	5523	9404
296	5540	9383
297	5558	9363
298	5576	9343
299	5594	9323
300	5613	9305
301	5630	9284
302	5648	9264
303	5666	9245
304	5684	9225
305	5702	9206
306	5721	9187
307	5739	9168
308	5758	9149
309	5777	9131
310	5795	9112
311	5815	9096
312	5836	9080
313	5857	9065
314	5876	9047
315	5893	9026
316	5910	9005
317	5928	8986
318	5946	8966
319	5963	8945
320	5981	8926
321	5999	8906
322	6018	8888
323	6036	8868
324	6054	8849
325	6075	8833
326	6092	8812
327	6110	8792
328	6129	8774
329	6147	8755
330	6164	8734
331	6182	8714
332	6200	8695
333	6219	8676
334	6238	8659
335	6257	8641
336	6277	8624
337	6297	8607
338	6319	8594
339	6339	8576
340	6360	8561
341	6381	8546
342	6405	8534
343	6426	8518
344	6447	8503
345	6471	8491
346	6498	8483
347	6525	8475
348	6549	8463
349	6571	8449
350	6593	8434
351	6617	8422
352	6640	8408
353	6663	8395
354	6690	8386
355	6712	8372
356	6737	8360
357	6759	8345
358	6783	8333
359	6805	8318
360	6828	8303
361	6850	8288
362	6876	8277
363	6906	8272
364	6934	8264
365	6965	8259
366	6995	8253
367	7023	8244
368	7053	8238
369	7084	8233
370	7110	8222
371	7136	8211
372	7159	8195
373	7184	8182
374	7205	8166
375	7230	8153
376	7253	8138
377	7276	8123
378	7298	8107
379	7321	8092
380	7344	8076
381	7365	8060
382	7388	8043
383	7413	8031
384	7440	8019
385	7467	8009
386	7491	7994
387	7517	7981
388	7539	7965
389	7564	7952
390	7586	7935
391	7610	7921
392	7632	7904
393	7655	7888
394	7680	7875
395	7702	7858
396	7724	7841
397	7750	7828
398	7772	7811
399	7796	7796
400	7818	7779
401	7841	7763
402	7864	7747
403	7886	7730
404	7909	7714
405	7931	7696
406	7955	7682
407	7978	7665
408	8002	7650
409	8027	7636
410	8050	7619
411	8077	7606
412	8100	7590
413	8124	7574
414	8147	7558
415	8170	7541
416	8196	7527
417	8219	7511
418	8244	7496
419	8266	7479
420	8289	7462
421	8314	7447
422	8338	7431
423	8363	7416
424	8388	7401
425	8411	7384
426	8434	7367
427	8457	7350
428	8480	7333
429	8506	7319
430	8529	7302
431	8552	7285
432	8580	7272
433	8608	7259
434	8632	7243
435	8657	7227
436	8680	7210
437	8705	7194
438	8729	7178
439	8754	7163
440	8778	7146
441	8802	7129
442	8824	7111
443	8846	7093
444	8870	7076
445	8893	7059
446	8921	7045
447	8946	7029
448	8969	7011
449	8993	6994
450	9015	6976
451	9040	6960
452	9065	6944
453	9092	6929
454	9120	6915
455	9149	6902
456	9176	6887
457	9198	6868
458	9221	6851
459	9245	6833
460	9270	6817
461	9293	6798
462	9317	6781
463	9340	6764
464	9362	6745
465	9387	6728
466	9413	6712
467	9438	6695
468	9463	6678
469	9490	6663
470	9517	6647
471	9540	6629
472	9565	6612
473	9588	6594
474	9613	6577
475	9635	6558
476	9658	6540
477	9682	6522
478	9710	6507
479	9739	6493
480	9767	6477
481	9794	6462
482	9820	6445
483	9847	6429
484	9875	6413
485	9901	6397
486	9930	6382
487	9957	6366
488	9984	6349
489	10009	6332
490	10034	6314
491	10058	6297
492	10080	6277
493	10102	6257
494	10126	6239
495	10148	6219
496	10170	6200
497	10192	6181
498	10217	6163
499	10243	6146
500	10268	6128
501	10297	6112
502	10319	6093
503	10342	6074
504	10366	6055
505	10389	6036
506	10417	6020
507	10445	6004
508	10468	5984
509	10492	5966
510	10515	5947
511	10539	5928
512	10562	5909
513	10589	5892
514	10613	5873
515	10642	5857
516	10669	5840
517	10699	5824
518	10726	5807
519	10748	5787
520	10770	5767
521	10793	5748
522	10815	5728
523	10842	5710
524	10863	5690
525	10886	5670
526	10912	5652
527	10934	5633
528	10957	5613
529	10982	5594
530	11007	5576
531	11030	5556
532	11056	5538
533	11078	5518
534	11101	5498
535	11125	5479
536	11147	5459
537	11170	5439
538	11192	5419
539	11214	5399
540	11239	5380
541	11260	5360
542	11283	5340
543	11306	5320
544	11333	5302
545	11359	5284
546	11385	5265
547	11409	5246
548	11432	5226
549	11456	5207
550	11482	5189
551	11505	5169
552	11528	5149
553	11551	5129
554	11574	5109
555	11596	5089
556	11622	5070
557	11646	5051
558	11670	5031
559	11695	5012
560	11719	4992
561	11741	4972
562	11764	4952
563	11789	4933
564	11812	4913
565	11838	4894
566	11860	4874
567	11883	4853
568	11906	4833
569	11928	4813
570	11953	4794
571	11975	4773
572	11999	4753
573	12021	4733
574	12047	4714
575	12070	4694
576	12091	4673
577	12116	4653
578	12140	4633
579	12162	4613
580	12184	4592
581	12206	4572
582	12228	4551
583	12250	4531
584	12272	4510
585	12296	4490
586	12318	4470
587	12340	4449
588	12364	4429
589	12387	4408
590	12409	4388
591	12434	4368
592	12460	4349
593	12488	4330
594	12513	4311
595	12537	4291
596	12559	4270
597	12582	4250
598	12604	4229
599	12627	4209
600	12650	4188
601	12673	4168
602	12696	4147
603	12720	4127
604	12746	4108
605	12771	4088
606	12798	4069
607	12821	4048
608	12847	4029
609	12870	4008
610	12894	3988
611	12917	3968
612	12940	3947
613	12964	3927
614	12990	3907
615	13014	3887
616	13042	3868
617	13065	3847
618	13087	3826
619	13109	3805
620	13131	3785
621	13155	3764
622	13178	3744
623	13201	3723
624	13226	3703
625	13248	3682
626	13271	3661
627	13293	3640
628	13316	3620
629	13340	3599
630	13363	3579
631	13387	3558
632	13409	3537
633	13431	3516
634	13453	3495
635	13476	3475
636	13498	3454
637	13522	3433
638	13547	3413
639	13573	3393
640	13599	3373
641	13623	3352
642	13649	3332
643	13673	3312
644	13697	3291
645	13723	3271
646	13746	3250
647	13771	3230
648	13793	3209
649	13815	3188
650	13838	3167
651	13860	3146
652	13882	3125
653	13907	3104
654	13929	3083
655	13952	3062
656	13975	3041
657	13997	3020
658	14021	2999
659	14044	2979
660	14066	2958
661	14088	2936
662	14111	2915
663	14135	2895
664	14157	2874
665	14180	2853
666	14205	2832
667	14229	2811
668	14251	2790
669	14272	2769
670	14294	2748
671	14317	2727
672	14339	2706
673	14361	2684
674	14383	2663
675	14405	2642
676	14427	2621
677	14451	2600
678	14476	2579
679	14500	2558
680	14523	2537
681	14547	2517
682	14571	2496
683	14595	2475
684	14622	2454
685	14651	2434
686	14681	2414
687	14711	2394
688	14738	2374
689	14767	2354
690	14794	2333
691	14821	2313
692	14847	2292
693	14874	2271
694	14898	2250
695	14920	2229
696	14944	2208
697	14969	2187
698	14991	2166
699	15014	2144
700	15038	2123
701	15062	2102
702	15085	2081
703	15107	2060
704	15133	2039
705	15155	2017
706	15178	1996
707	15200	1975
708	15221	1953
709	15244	1932
710	15266	1911
711	15290	1889
712	15314	1868
713	15341	1847
714	15368	1826
715	15392	1805
716	15418	1784
717	15444	1763
718	15471	1742
719	15499	1722
720	15522	1700
721	15545	1679
722	15566	1657
723	15589	1636
724	15611	1615
725	15634	1593
726	15659	1572
727	15680	1550
728	15701	1529
729	15724	1507
730	15747	1486
731	15770	1465
732	15795	1443
733	15819	1422
734	15844	1401
735	15876	1380
736	15907	1359
737	15931	1338
738	15956	1317
739	15979	1295
740	16004	1274
741	16028	1252
742	16052	1231
743	16076	1210
744	16097	1188
745	16120	1166
746	16142	1145
747	16164	1123
748	16188	1102
749	16209	1080
750	16232	1059
751	16254	1037
752	16276	1015
753	16298	994
754	16320	972
755	16342	951
756	16366	929
757	16389	908
758	16414	886
759	16438	865
760	16459	843
761	16482	821
762	16505	800
763	16530	778
764	16557	757
765	16582	736
766	16604	714
767	16626	692
768	16650	671
769	16672	649
770	16694	627
771	16719	606
772	16741	584
773	16766	563
774	16788	541
775	16810	519
776	16834	498
777	16858	476
778	16884	455
779	16911	433
780	16938	412
781	16964	390
782	16993	368
783	17017	347
784	17039	325
785	17062	303
786	17084	282
787	17106	260
788	17128	238
789	17152	217
790	17180	195
791	17202	173
792	17224	152
793	17246	130
794	17268	108
795	17291	86
796	17313	65
797	17336	43
798	17359	21
799	17386	0
