iter	RMSE
357	108.1838259
358	108.1635796
359	108.1434815
360	108.1235378
361	108.1037199
362	108.084121
363	108.0645769
364	108.045155
365	108.0255295
366	108.0063316
367	107.9872526
368	107.9682943
369	107.9488851
370	107.9300707
371	107.9107413
372	107.891465
373	107.8728685
374	107.8544709
375	107.8353861
376	107.7959481
377	107.7772304
378	107.7582281
379	107.7399917
380	107.6904984
381	107.6715344
382	107.6526335
383	107.6345512
384	107.6158251
385	107.5738439
386	107.5550795
387	107.5363961
388	107.5185596
389	107.5000143
390	107.4832446
391	107.465556
392	107.4471886
393	107.4212346
394	107.4033753
395	107.3850537
396	107.3471705
397	107.32894
398	107.3034501
399	107.2858442
400	107.2390119
401	107.2216063
402	107.2041608
403	107.1868385
404	107.1511295
405	107.1330363
406	107.1150473
407	107.0979003
408	107.0799369
409	107.0619709
410	107.0450629
411	107.0214254
412	107.0046213
413	106.9868026
414	106.9698818
415	106.9534282
416	106.9357637
417	106.9181514
418	106.900505
419	106.8598533
420	106.8331947
421	106.8167778
422	106.7992465
423	106.7817515
424	106.7643556
425	106.7370368
426	106.7198328
427	106.6859894
428	106.6698031
429	106.6524159
430	106.6352086
431	106.6179077
432	106.6007151
433	106.5844211
434	106.56728
435	106.5501711
436	106.5234697
437	106.5064542
438	106.4895754
439	106.4740227
440	106.4570258
441	106.4163881
442	106.3994082
443	106.3754868
444	106.3598291
445	106.3429292
446	106.3262148
447	106.3097023
448	106.2944545
449	106.2777249
450	106.2625788
451	106.2459299
452	106.2293035
453	106.2140718
454	106.1754114
455	106.1588343
456	106.1422952
457	106.1262196
458	106.1097809
459	106.0933818
460	106.0770076
461	106.060669
462	106.0457083
463	106.0294359
464	106.0132192
465	105.9973291
466	105.9811482
467	105.9650464
468	105.9308515
469	105.9147477
470	105.898784
471	105.8828115
472	105.8668044
473	105.8508848
474	105.8366164
475	105.8221662
476	105.8062681
477	105.790442
478	105.7746694
479	105.7588791
480	105.7431978
481	105.7206024
482	105.7049084
483	105.6906003
484	105.6749563
485	105.6610722
486	105.6454982
487	105.6214059
488	105.6058531
489	105.5917336
490	105.5762577
491	105.5608354
492	105.545393
493	105.5314367
494	105.5165538
495	105.5012274
496	105.4873418
497	105.4720645
498	105.4568346
499	105.4430968
500	105.4279538
501	105.4128238
502	105.3976958
503	105.3826511
504	105.3680225
505	105.3530206
506	105.3380514
507	105.3041352
508	105.289178
509	105.2742505
510	105.2594044
511	105.2299842
512	105.2165396
513	105.2017235
514	105.1873433
515	105.1725463
516	105.1578098
517	105.1430833
518	105.128435
519	105.113832
520	105.0992052
521	105.0846885
522	105.0483796
523	105.0266133
524	104.9980114
525	104.9834644
526	104.9688951
527	104.954906
528	104.9403649
529	104.9258589
530	104.9115059
531	104.8971333
532	104.882724
533	104.8683629
534	104.8540276
535	104.8402035
536	104.8260178
537	104.8117582
538	104.7975287
539	104.7833702
540	104.7705459
541	104.7577755
542	104.7259478
543	104.712254
544	104.6981365
545	104.6768323
546	104.6640463
547	104.6368901
548	104.6233992
549	104.6094783
550	104.5954643
551	104.5814707
552	104.5675163
553	104.5535913
554	104.5396842
555	104.5263049
556	104.5124428
557	104.4852909
558	104.4714438
559	104.4576709
560	104.4438976
561	104.4307724
562	104.4170472
563	104.4038941
564	104.3902666
565	104.3766623
566	104.3631359
567	104.3495845
568	104.3295894
569	104.3159886
570	104.3029447
571	104.2893928
572	104.2759118
573	104.2616816
574	104.2256473
575	104.2115171
576	104.198064
577	104.1847355
578	104.1655409
579	104.153855
580	104.1398853
581	104.1185284
582	104.105655
583	104.0923589
584	104.0725984
585	104.0593159
586	104.0459875
587	104.0327358
588	104.0207713
589	104.0075098
590	103.9937792
591	103.9801686
592	103.9679921
593	103.9554422
594	103.9420461
595	103.9288053
596	103.9157731
597	103.903219
598	103.8752759
599	103.8622214
600	103.8459802
601	103.8150434
602	103.8020896
603	103.7889091
604	103.7764024
605	103.7634483
606	103.7505207
607	103.7377253
608	103.7250485
609	103.7129467
610	103.7003852
611	103.6878454
612	103.6753712
613	103.6558809
614	103.6430812
615	103.6309347
616	103.6181456
617	103.6053772
618	103.5927178
619	103.5799723
620	103.5672576
621	103.5545626
622	103.5422963
623	103.5296602
624	103.5182124
625	103.5056852
626	103.4931166
627	103.4806196
628	103.4680816
629	103.4555805
630	103.4431263
631	103.430659
632	103.4182252
633	103.4074668
634	103.3950798
635	103.3826978
636	103.3703769
637	103.3580247
638	103.3468881
639	103.3356471
640	103.3234275
641	103.3111516
642	103.2989262
643	103.281161
644	103.2505183
645	103.2383329
646	103.2265397
647	103.2143893
648	103.2028234
649	103.1906922
650	103.1720641
651	103.1470172
652	103.1348942
653	103.1227444
654	103.1111833
655	103.0991435
656	103.0871303
657	103.0696612
658	103.0576698
659	103.0456225
660	103.0340409
661	103.0226481
662	103.0106523
663	103.0005341
664	102.988655
665	102.9767552
666	102.9648632
667	102.9529875
668	102.9411031
669	102.9292848
670	102.9174306
671	102.906744
672	102.8899824
673	102.8781749
674	102.8664483
675	102.8553001
676	102.8436014
677	102.8319176
678	102.8201884
679	102.7960236
680	102.7843248
681	102.772716
682	102.7617372
683	102.7500749
684	102.7389359
685	102.7279673
686	102.7163939
687	102.7060435
688	102.6891008
689	102.6775901
690	102.6660165
691	102.6544724
692	102.5932696
693	102.5817273
694	102.5408262
695	102.5292773
696	102.5189645
697	102.5075276
698	102.4965934
699	102.4703559
700	102.4504652
701	102.4390325
702	102.4276206
703	102.4161855
704	102.4047958
705	102.3887078
706	102.3773762
707	102.3665988
708	102.3552279
709	102.3313611
710	102.3200174
711	102.2758383
712	102.2593303
713	102.2378972
714	102.2270969
715	102.2158376
716	102.2045629
717	102.1938788
718	102.1825912
719	102.1713941
720	102.1564058
721	102.1452564
722	102.1074934
723	102.0825084
724	102.0712275
725	102.0599876
726	102.048831
727	102.0387954
728	102.0281623
729	102.0176386
730	102.0065009
731	101.9965503
732	101.9851134
733	101.9740719
734	101.9630427
735	101.9526498
736	101.9416393
737	101.930641
738	101.9201865
739	101.9092584
740	101.899447
741	101.8769922
742	101.8651553
743	101.8542343
744	101.7913209
745	101.7803748
746	101.7695208
747	101.7586489
748	101.7477556
749	101.7368796
750	101.7013513
751	101.6904749
752	101.6747644
753	101.6644536
754	101.653608
755	101.6428126
756	101.6320028
757	101.6212664
758	101.6105423
759	101.5998305
760	101.5891085
761	101.5783802
762	101.5676747
763	101.5575524
764	101.5469509
765	101.5363259
766	101.5249831
767	101.5144292
768	101.5038818
769	101.4758403
770	101.4652225
771	101.4546861
772	101.4392953
773	101.4293254
774	101.4187464
775	101.4087601
776	101.3982467
777	101.3740936
778	101.3636103
779	101.3531403
780	101.3432255
781	101.3333696
782	101.323744
783	101.3141927
784	101.3038354
785	101.2934781
786	101.2836172
787	101.2743251
788	101.2639377
789	101.2452639
790	101.219441
791	101.2090424
792	101.1986607
793	101.1882927
794	101.1779401
795	101.1669247
796	101.1565919
797	101.1463497
798	101.1361467
799	101.1259235
